"Date","Price","Open","High","Low","Vol.","Change %"
"06/27/2023","340.32","340.42","340.45","338.65","97.62M","-0.02%"
"06/26/2023","340.38","338.38","340.78","337.62","101.45M","0.57%"
"06/23/2023","338.45","341.95","342.21","338.21","100.44M","-0.78%"
"06/22/2023","341.12","338.52","341.56","338.46","103.39M","0.49%"
"06/21/2023","339.44","341.48","342.03","338.98","126.95M","-0.92%"
"06/20/2023","342.58","341.98","343.02","341.15","157.40M","-0.16%"
"06/19/2023","343.13","344.36","344.55","341.98","120.26M","-0.59%"
"06/16/2023","345.17","345.09","345.35","343.13","153.59M","0.58%"
"06/15/2023","343.19","345.93","346.58","342.72","117.11M","-0.42%"
"06/14/2023","344.65","346.49","346.88","343.69","124.56M","-0.50%"
"06/13/2023","346.39","346.92","347.46","345.38","119.45M","0.53%"
"06/12/2023","344.57","347.54","348.18","343.70","115.93M","-0.64%"
"06/09/2023","346.79","344.28","347.42","343.34","139.70M","1.18%"
"06/08/2023","342.75","342.16","342.75","340.48","155.26M","-0.14%"
"06/07/2023","343.22","344.76","345.63","343.03","115.84M","-0.20%"
"06/05/2023","343.91","344.89","344.95","343.04","117.54M","0.36%"
"06/02/2023","342.67","340.57","342.68","340.12","97.31M","1.36%"
"06/01/2023","338.08","338.36","339.61","337.29","96.81M","-0.31%"
"05/31/2023","339.12","341.55","342.51","339.04","191.23M","-0.70%"
"05/30/2023","341.50","340.53","341.74","339.73","130.05M","1.30%"
"05/26/2023","337.11","336.87","338.06","335.89","106.71M","0.52%"
"05/25/2023","335.35","337.72","338.20","334.98","94.20M","-0.34%"
"05/24/2023","336.49","335.36","337.32","335.09","95.15M","-0.18%"
"05/23/2023","337.09","337.32","338.54","336.37","88.88M","0.24%"
"05/22/2023","336.27","334.50","337.66","333.43","111.14M","0.61%"
"05/19/2023","334.23","332.67","334.27","332.00","108.74M","1.33%"
"05/18/2023","329.84","329.07","329.87","327.68","94.71M","0.99%"
"05/17/2023","326.61","325.61","327.54","324.82","92.27M","0.40%"
"05/16/2023","325.31","327.01","327.72","324.60","104.62M","0.26%"
"05/15/2023","324.46","322.99","324.56","321.61","89.27M","0.26%"
"05/12/2023","323.61","324.83","325.24","322.97","99.54M","-0.51%"
"05/11/2023","325.28","327.18","328.43","325.28","99.13M","-0.23%"
"05/10/2023","326.04","327.73","327.90","324.94","97.56M","-0.66%"
"05/09/2023","328.22","328.68","328.92","326.81","90.98M","-0.21%"
