날짜,monthth,종가
1986-11-06,10,15.08
1986-11-07,10,15.15
1986-11-10,10,15.34
1986-11-11,10,15.41
1986-11-12,10,15.35
1986-11-13,10,15.51
1986-11-14,10,15.64
1986-11-17,10,15.62
1986-11-18,10,15.59
1986-11-19,10,15.48
1986-11-20,10,15.08
1986-11-21,10,15.38
1986-11-24,10,14.99
1986-11-25,10,14.95
1986-11-26,10,15.0
1986-12-01,11,15.31
1986-12-02,11,15.19
1986-12-03,11,15.12
1986-12-04,11,15.2
1986-12-05,11,15.13
1986-12-08,11,15.03
1986-12-09,11,15.0
1986-12-10,11,15.13
1986-12-11,11,15.5
1986-12-12,11,16.1
1986-12-15,11,16.36
1986-12-16,11,16.1
1986-12-17,11,15.86
1986-12-18,11,16.06
1986-12-19,11,16.21
1986-12-22,11,16.21
1986-12-23,11,16.91
1986-12-24,11,17.27
1986-12-29,11,17.65
1986-12-30,11,17.65
1986-12-31,11,17.94
1987-01-02,12,18.13
1987-01-05,12,17.95
1987-01-06,12,18.22
1987-01-07,12,18.25
1987-01-08,12,18.57
1987-01-09,12,18.77
1987-01-12,12,19.01
1987-01-13,12,18.89
1987-01-14,12,19.13
1987-01-15,12,19.14
1987-01-16,12,19.1
1987-01-19,12,18.7
1987-01-20,12,18.72
1987-01-21,12,18.69
1987-01-22,12,18.87
1987-01-23,12,18.76
1987-01-26,12,18.64
1987-01-27,12,18.47
1987-01-28,12,18.58
1987-01-29,12,18.66
1987-01-30,12,18.75
1987-02-02,13,18.54
1987-02-03,13,18.36
1987-02-04,13,18.26
1987-02-05,13,18.58
1987-02-06,13,18.44
1987-02-09,13,18.34
1987-02-10,13,18.45
1987-02-11,13,18.06
1987-02-12,13,17.98
1987-02-13,13,17.85
1987-02-17,13,17.79
1987-02-18,13,17.4
1987-02-19,13,17.44
1987-02-20,13,17.77
1987-02-23,13,17.77
1987-02-24,13,17.77
1987-02-25,13,16.4
1987-02-26,13,16.78
1987-02-27,13,16.6
1987-03-02,14,16.39
1987-03-03,14,17.35
1987-03-04,14,17.51
1987-03-05,14,17.75
1987-03-06,14,18.13
1987-03-09,14,18.04
1987-03-10,14,18.12
1987-03-11,14,18.35
1987-03-12,14,18.39
1987-03-13,14,18.36
1987-03-16,14,18.64
1987-03-17,14,18.87
1987-03-18,14,18.69
1987-03-19,14,18.6
1987-03-20,14,18.67
1987-03-23,14,18.67
1987-03-24,14,18.67
1987-03-25,14,18.67
1987-03-26,14,18.63
1987-03-27,14,18.62
1987-03-30,14,18.69
1987-03-31,14,18.83
1987-04-01,15,18.78
1987-04-02,15,18.91
1987-04-03,15,18.7
1987-04-06,15,18.67
1987-04-07,15,18.84
1987-04-08,15,18.65
1987-04-09,15,18.59
1987-04-10,15,18.11
1987-04-13,15,18.01
1987-04-14,15,17.98
1987-04-15,15,18.47
1987-04-16,15,18.64
1987-04-20,15,18.65
1987-04-21,15,19.03
1987-04-22,15,19.03
1987-04-23,15,19.03
1987-04-24,15,18.68
1987-04-27,15,18.83
1987-04-28,15,18.84
1987-04-29,15,18.6
1987-04-30,15,18.73
1987-05-01,16,18.83
1987-05-04,16,18.92
1987-05-05,16,19.05
1987-05-06,16,19.23
1987-05-07,16,19.13
1987-05-08,16,19.26
1987-05-11,16,19.41
1987-05-12,16,19.27
1987-05-13,16,19.41
1987-05-14,16,19.56
1987-05-15,16,19.8
1987-05-18,16,19.89
1987-05-19,16,19.87
1987-05-20,16,19.87
1987-05-21,16,19.24
1987-05-22,16,19.35
1987-05-26,16,19.42
1987-05-27,16,19.37
1987-05-28,16,19.26
1987-05-29,16,19.38
1987-06-01,17,19.56
1987-06-02,17,19.69
1987-06-03,17,19.86
1987-06-04,17,19.81
1987-06-05,17,19.79
1987-06-08,17,19.9
